Zona,Local,Nome do local,Latitude,Longitude
33,1201,'COLÉGIO DE APLICAÇÃO PIO XII',-22.9099038,-47.0521561
33,1120,'COLÉGIO FRANCISCANO AVE MARIA',-22.9120439,-47.0547942
33,2135,'COLÉGIO MADRE CECÍLIA',-22.8977395,-47.0498282
33,1147,'COLÉGIO OBJETIVO',-22.8903303,-47.0479192
33,1023,'COLEGIO PROGRESSO CAMPINEIRO',-22.8982556,-47.0557711
33,1058,'EE. CARLOS GOMES',-22.8987778,-47.0586329
33,1074,'E.E. CULTO A CIÊNCIA',-22.9008226,-47.0688132
33,1066,'EE. DONA CASTORINA CAVALHEIRO',-22.8925473,-47.0631991
33,1082,'EE. FRANCISCO GLICÉRIO',-22.9061275,-47.0548872
33,1180,'EE. JOÃO LOURENÇO RODRIGUES',-22.9026012,-47.0488355
33,1090,'EE. OROZIMBO MAIA',-22.9064792,-47.0679134
33,1040,'EE. PROFESSOR BENEDITO SAMPAIO',-22.8999168,-47.0667623
33,1236,'EE. PROFESSOR JOSÉ VILLAGELIN NETO',-22.9158432,-47.0474733
33,2240,'EMEI PREFEITO JOSÉ PIRES NETO',-22.9146084,-47.0470531
33,2151,'FACULDADES INTEGRADAS IPEP',-22.9097957,-47.059802
33,1139,'SENAC',-22.8989676,-47.0611587
33,1015,'USF - UNIV. SÃO FRANCISCO',-22.8943386,-47.0502303
274,1856,'CEI MARIA BEATRIZ CARVALHO MOREIRA',-22.9380884,-47.0408369
274,1171,'COLÉGIO DOM BARRETO',-22.9196446,-47.0534797
274,1180,'EE. ÁUREA ANUNCIAÇÃO AMÉRICO DE GODOY',-22.9323698,-47.0155781
274,1090,'EE. DEPUTADO JAMIL GADIA',-22.9440225,-47.0572167
274,1147,'EE. DOM BARRETO',-22.9159378,-47.0583231
274,1724,'EE. DR. DISNEI FRANCISCO SCORNAIENCHI',-22.9593914,-47.0534056
274,1104,'EE. JOÃO GUMERCINDO GUIMARÃES',-22.9427092,-47.0552688
274,1309,'EE. JOSÉ MARIA MATOSINHO',-22.9248432,-47.0749781
274,1112,'EE. JÚLIO MESQUITA',-22.9330502,-47.0484544
274,1155,'EE. MONSENHOR EMÍLIO JOSÉ SALIM',-22.9244908,-47.0548982
274,1120,'EE. NELY HELENA ASSIS DE ANDRADE',-22.9365209,-47.0489191
274,1139,'EE. PROCÓPIO FERREIRA',-22.9358801,-47.0421608
274,1201,'EE. PROF. LUIZ GALHARDO',-22.9348518,-47.0340134
274,1163,'EE. PROF. MILTON DE TOLOSA',-22.9272243,-47.0601602
274,1830,'E.E. PROF. PAULO LUIZ DECOURT',-22.9500517,-47.0330021
274,1686,'EMEF. AVELINO CANAZZA',-22.9488643,-47.0240022
274,1759,'EMEF. ELVIRA MURARO',-22.9318597,-47.0229673
274,1198,'EMEF. FRANCISCO PONZIO SOBRINHO',-22.9350651,-47.0329219
274,1295,'EMEF. GENY RODRIGUES',-22.9202161,-47.0761817
274,1481,'EMEF. JÚLIO MESQUITA FILHO',-22.9469942,-47.0249614
274,1864,'EMEF. MARIA LUIZA POMPEU DE CAMARGO',-22.9404202,-47.0258925
274,1082,'EMEF. PRESIDENTE HUMBERTO DE ALENCAR CASTELO BRANCO',-22.9363139,-47.0620206
274,1880,'EMEF. PROFESSORA ANÁLIA FERRAZ COSTA COUTO',-22.9425796,-47.0362232
274,1899,'EMEI. PRESIDENTE CAMPOS SALLES',-22.9481737,-47.0560784
274,1848,'EMEI. PROFº HILÁRIO PEREIRA MAGRO JÚNIOR',-22.9269954,-47.0497836
274,1937,'UNIP - UNIVERSIDADE PAULISTA - CAMPUS VITALE',-22.9221399,-47.0686781
274,1929,'UNIP - UNIVERSIDADE PAULISTA DE CAMPINAS - CAMPUS SWIFT',-22.9269286,-47.0380179
274,1872,'UNIVERSIDADE SÃO FRANCISCO',-22.9343559,-47.0352994
275,1937,'CASA MAESTRO CARLOS GOMES - CENTRO DE ATENDIMENTO SÓCIOEDUCATIVO AO AD',-22.8574543,-47.1090587
275,1945,'CENTRO ESTADUAL DE EDUCAÇÃO DE JOVENS E ADULTOS PAULO DECOURT',-22.8574734,-47.042481
275,1147,'E.E. ARTHUR SEGURADO',-22.8793931,-47.0735338
275,1074,'E.E. BARÃO GERALDO DE REZENDE',-22.8224087,-47.083985
275,1317,'E.E. CEL. FIRMINO GONÇALVES DA SILVEIRA',-22.8585894,-47.0359156
275,1872,'E.E. DR. TELÊMACO PAIOLI MELGES',-22.9099384,-47.0626332
275,1899,'E.E .FRANCISCO ÁLVARES',-22.7905235,-47.081415
275,1066,'E.E. JOSÉ PEDRO DE OLIVEIRA',-22.8227535,-47.080368
275,1503,'EE. MOACYR SANTOS DE CAMPOS',-22.8482133,-47.0411355
275,1350,'E.E. PROF. ADALBERTO NASCIMENTO',-22.8831646,-47.0534072
275,1449,'E.E. PROF. ADALBERTO PRADO E SILVA',-22.8543262,-47.071072
275,1724,'E.E. PROF. ADIWALDE DE OLIVEIRA COELHO',-22.8833016,-47.0541914
275,1171,'E.E. PROF. ANÍBAL DE FREITAS',-22.8880737,-47.0629141
275,1341,'E.E. PROF. DANTE ALIGHIERI VITA',-22.8480335,-47.0522714
275,1457,'E.E. PROF. DR. CARLOS DE ARAÚJO PIMENTEL',-22.8587627,-47.0616863
275,1279,'E.E. PROF. GUSTAVO MARCONDES',-22.9099384,-47.0626332
275,1058,'E.E. PROF. HILTON FEDERICI',-22.8180438,-47.0916819
275,1864,'E.E. PROF. LUIZ GONZAGA HORTA LISBOA',-22.8135628,-47.0339884
275,1465,'E.E. PROF. NEWTON SILVA TELLES',-22.8612606,-47.067148
275,1090,'E.E. PROF. ROQUE MAGALHÃES BARROS',-22.9384247,-47.0850594
275,1821,'E.E. PROF. UACURY RIBEIRO DE ASSIS BASTOS',-22.7598696,-46.984897
275,1368,'E.E. PROFA. ANA RITA GODINHO POUSA',-22.8779523,-47.0408218
275,1295,'E.E. PROFA. CASTINAUTA DE B.M. ALBUQUERQUE',-22.8497464,-47.1169716
275,1830,'E.E. PROFA. DORA MARIA MACIEL DE CASTRO KANSO',-22.7516153,-47.056922
275,1848,'E.E. PROFA. EUNICE VIRGÍNIA RAMOS NAVERO',-22.8434737,-47.0221638
275,1325,'EE REGINA COUTINHO NOGUEIRA',-22.871436,-47.040995
275,1309,'EE 31 DE MARCO',-22.8535711,-47.108096
275,1589,'EEPG PROFA MARIA ALICE COLEVATI RODRIGUES',-22.8227783,-47.0914607
275,1600,'EEPG SERGIO PEREIRA PORTO - FISICO',-22.812365,-47.0683846
275,1554,'EMEF EDSON LUIZ LIMA SOUTO',-22.8408839,-47.1565247
275,1902,'EMEI AGOSTINHO PATTARO',-22.8231516,-47.0816365
275,1856,'EMEI RECANTO DA ALEGRIA',-22.8511321,-47.0346833
275,1538,'EMPG PE JOSE NARCISO VIEIRA EHREMBERG',-22.846469,-47.1151496
275,1546,'EMPG PROFA DULCE BENTO NASCIMENTO',-22.7921895,-47.0711624
275,1180,'ESCOLA SALESIANA SAO JOSE',-22.9099384,-47.0626332
275,1163,'ETECAP',-22.8725788,-47.0898835
275,1929,'FACULDADE ANHANGUERA DE CAMPINAS - UNIDADE 3 (FAC)',-22.8517704,-47.043644
275,1910,'INSTITUTO EDUCACIONAL JAIME KRATZ',-22.8684649,-47.0600369
275,1198,'LICEU SALESIANO NOSSA SENHORA AUXILIADORA',-22.8832959,-47.0586055
275,1287,'SEIAS - INSTITUTO EDUCACIONAL IMACULADA',-22.890109,-47.0622146
275,1880,'SOCIEDADE DE INSTRUÇÃO E LEITURA COL. RIO BRANCO CPS',-22.8265656,-47.0755766
275,1104,'UNICAMP',-22.9099384,-47.0626332
275,1961,'UNIVERSIDADE PRESBITERIANA MACKENZIE',-22.8854218,-47.0684852
378,1481,'CEMEI ANNITA AFFONSO FERREIRA',-22.9573325,-47.0878677
378,1570,'CEMEI CATARINA MILANI MANARINI',-22.9532098,-47.0904162
378,1538,'CEMEI IRMÃ DULCE',-22.9640467,-47.0968906
378,1511,'CEMEI JOSÉ FIDELIS',-23.0040981,-47.1091747
378,1589,'CEMEI MANOEL ALVES DA SILVA',-22.9758796,-47.132502
378,1201,'CEMEI MARILENE CABRAL',-22.9711619,-47.12436
378,1473,'CEMEI PROFA. MARIA ISABEL BALTAR DA ROCHA RODRIGUES',-22.9500002,-47.0815274
378,1392,'CIMEI PROFESSORA THERMUTIS ARAÚJO MACHADO',-22.9738203,-47.1194146
